,ExecTime(M-EDP),Energy(M-EDP),ExecTime(M-ED²P),Energy(M-ED²P),ExecTime(P-EDP),Energy(P-EDP),ExecTime(P-ED²P),Energy(P-ED²P),DefExecTime,DefEnergy,Energy (%) [P-EDP],Time (%) [P-EDP],Energy (%) [M-EDP],Time (%) [M-EDP],Energy (%) [P-ED²P],Time (%) [P-ED²P],Energy (%) [M-ED²P],Time (%) [M-ED²P]
NAMD,28.6,2631.9,28.2,2682.1,30.1,2703.2,28.2,2682.1,25.6,3554.7,23.95,-17.58,25.96,-11.72,24.55,-10.16,24.55,-10.16
LAMMPS,36.0,4897.7,35.0,5086.7,37.0,4981.5,35.0,5221.8,32.0,6599.3,24.51,-15.62,25.78,-12.5,20.87,-9.38,22.92,-9.38
LSTM,27.5,796.1,27.5,796.1,27.8,930.8,27.3,935.3,28.8,1271.2,26.78,3.47,37.37,4.51,26.42,5.21,37.37,4.51
