,ID,gr_engine_active,sm_active,sm_occupancy,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,MCUTL,MUSAM,GUSAM,power_usage,TOTEC,run_time,application,sm_app_clock
0,0.0,0.21212992,0.21403937,0.09545669,0.0037519685,0.0,0.088326775,0.0,1406044197.948819,1666731051.1692913,19.255905,0.8543307,0.0,18.429134,121.77098,2592.6488582677166,28.5,GROMACS,1410
1,0.0,0.20413461,0.21536154,0.09700769,0.0036653846,0.0,0.08331539,0.0,1332656428.3884616,1602127832.5846155,18.423077,0.8423077,0.0,18.623077,118.896866,2574.8467,28.33333333333333,GROMACS,1395
2,0.0,0.19560078,0.19246511,0.08636046,0.003379845,0.0,0.08238372,0.0,1260954550.643411,1540083159.8875968,18.976744,0.81782943,0.0,18.755814,117.2164,2516.1236666666664,28.666666666666668,GROMACS,1380
3,0.0,0.20599222,0.20881712,0.093046695,0.0035914397,0.0,0.0848677,0.0,1306688963.159533,1577929026.1712062,19.081713,0.84435797,0.0,18.571985,112.4517,2435.1956731517507,28.0,GROMACS,1365
4,0.0,0.2157197,0.22776516,0.10162121,0.003659091,0.0,0.0891553,0.0,1350533151.1136363,1649953353.9583333,19.424242,0.8598485,0.0,19.026516,112.89792,2431.838409090909,28.33333333333333,GROMACS,1350
5,0.0,0.22001235,0.22088477,0.099144034,0.0037119342,0.0,0.09006173,0.0,1369926555.415638,1657494924.5679011,19.925926,0.8600823,0.0,19.662552,110.77709,2371.6911646090534,28.0,GROMACS,1335
6,0.0,0.22321074,0.23184298,0.10385537,0.0037520663,0.0,0.094867766,0.0,1382742026.7190082,1664844198.0289257,20.07438,0.8719008,0.0,19.338842,108.64167,2324.5543181818184,28.33333333333333,GROMACS,1320
7,0.0,0.21395367,0.2212471,0.09876448,0.0034671815,0.0,0.09290347,0.0,1318084598.6756756,1592112205.907336,20.277992,0.85328186,0.0,20.413128,106.40186,2320.224698841699,28.33333333333333,GROMACS,1305
8,0.0,0.2159112,0.21256757,0.09690733,0.0035482626,0.0,0.09196139,0.0,1304429889.6911197,1577428014.023166,19.393822,0.8378378,0.0,18.942085,104.757,2275.7985405405407,28.0,GROMACS,1290
9,0.0,0.2235955,0.2287528,0.10248689,0.0035917603,0.0,0.097,0.0,1350991602.7265918,1616501811.0561798,20.138577,0.8689138,0.0,19.666666,103.04177,2222.077082397004,28.0,GROMACS,1275
10,0.0,0.21224031,0.22015892,0.09833334,0.0035736435,0.0,0.09081395,0.0,1253920507.9534883,1520718032.7713177,19.627907,0.8604651,0.0,19.697674,100.76403,2218.6151860465116,28.33333333333333,GROMACS,1260
11,0.0,0.22724809,0.23032443,0.103148855,0.0035877863,0.0,0.09522519,0.0,1324344100.8931298,1620583730.5152671,20.721375,0.8549618,0.0,20.683207,99.081924,2192.1137404580154,28.666666666666668,GROMACS,1245
12,0.0,0.23378462,0.25050768,0.11303461,0.0037076925,0.0,0.09836923,0.0,1351590399.2807693,1660652295.3423078,20.707693,0.8769231,0.0,21.33846,97.97816,2156.32545,28.33333333333333,GROMACS,1230
13,0.0,0.22536364,0.25086743,0.11307197,0.0035757576,0.0,0.09476515,0.0,1300764409.659091,1579668416.121212,20.375,0.8484849,0.0,20.844696,96.04134,2139.309272727273,28.33333333333333,GROMACS,1215
14,0.0,0.2315316,0.2444461,0.11059108,0.003739777,0.0,0.096669145,0.0,1315286417.4832714,1606308151.4944239,21.003717,0.8698885,0.0,21.033457,96.319405,2107.34792936803,28.33333333333333,GROMACS,1200
15,0.0,0.23991418,0.24051492,0.10835075,0.0036007464,0.0,0.10169403,0.0,1352340152.891791,1644900079.402985,21.25,0.8619403,0.0,21.910448,94.12948,2092.617537313433,28.33333333333333,GROMACS,1185
16,0.0,0.2506694,0.25937143,0.116216324,0.0038367347,0.0,0.107016325,0.0,1388088597.9510205,1691808803.8612244,21.702042,0.8734694,0.0,21.995918,94.01424,2069.6302857142855,28.33333333333333,GROMACS,1170
17,0.0,0.24723347,0.24094552,0.10771596,0.0036420235,0.0,0.10607393,0.0,1357042402.229572,1627266145.7237353,22.210117,0.83657587,0.0,21.731518,91.99156,2037.5213035019453,28.0,GROMACS,1155
18,0.0,0.23047794,0.23397794,0.10465441,0.0035036765,0.0,0.09815809,0.0,1257564871.1176472,1502334902.0404413,21.654411,0.8419118,0.0,21.536764,90.3735,2005.3835625000002,28.0,GROMACS,1140
19,0.0,0.23904075,0.23457778,0.10561481,0.0035851852,0.0,0.10651111,0.0,1275448835.5703704,1579563784.6666667,21.22963,0.837037,0.0,21.244444,88.31136,1996.2420555555555,28.0,GROMACS,1125
20,0.0,0.24217537,0.23620896,0.105485074,0.0035559703,0.0,0.10587686,0.0,1291596639.8507462,1546852369.7873135,22.27985,0.8358209,0.0,22.205223,87.765335,1958.078671641791,27.666666666666668,GROMACS,1110
21,0.0,0.25146744,0.26152107,0.116931036,0.00356705,0.0,0.10662835,0.0,1310445794.2260537,1633239300.2030652,22.850574,0.85823756,0.0,22.758621,89.15303,2016.578245210728,29.0,GROMACS,1095
22,0.0,0.24708582,0.2570261,0.11568283,0.0036455225,0.0,0.104235075,0.0,1270232611.5783582,1573869920.6828358,23.059702,0.8544776,0.0,22.697762,87.20995,2001.5464776119404,28.666666666666668,GROMACS,1080
23,0.0,0.26277292,0.26313946,0.118864544,0.0037011954,0.0,0.112083666,0.0,1342533230.6374502,1613576016.8645418,23.298805,0.8844622,0.0,23.071712,88.17172,1989.3119880478089,28.666666666666668,GROMACS,1065
24,0.0,0.2546464,0.26588973,0.119140685,0.003498099,0.0,0.10836882,0.0,1287791223.2205324,1576926419.5323193,22.642586,0.8403042,0.0,22.623573,87.238754,1973.3544106463878,28.33333333333333,GROMACS,1050
25,0.0,0.25730574,0.26874462,0.119870506,0.0034892086,0.0,0.109208636,0.0,1286041299.9856114,1559045879.586331,22.111511,0.823741,0.0,22.503597,86.656364,1975.7049604316549,28.666666666666668,GROMACS,1035
26,0.0,0.26310506,0.26720235,0.12102724,0.0035875486,0.0,0.1146537,0.0,1286535349.7937744,1576383076.7237353,23.599222,0.8599222,0.0,24.128405,87.21,1977.269186770428,28.666666666666668,GROMACS,1020
27,0.0,0.2733015,0.279813,0.12749237,0.0035458016,0.0,0.11987786,0.0,1334668840.2519083,1585869454.591603,24.541985,0.86259544,0.0,24.675573,86.74254,1914.3253511450382,28.0,GROMACS,1005
28,0.0,0.26755285,0.2684553,0.12164228,0.0036178862,0.0,0.11821138,0.0,1279399684.3577235,1546462257.7642276,23.837399,0.86178863,0.0,23.939024,86.480515,1944.166,28.33333333333333,GROMACS,990
29,0.0,0.2768373,0.28108335,0.12569444,0.0037500001,0.0,0.119424604,0.0,1303085758.8015873,1590986768.5198412,25.392857,0.8611111,0.0,24.837301,87.898254,1956.1820515873014,28.666666666666668,GROMACS,975
30,0.0,0.28150204,0.2685592,0.12094286,0.003567347,0.0,0.12460408,0.0,1304553571.0244899,1606419240.9387755,24.061224,0.844898,0.0,24.94694,87.06473,1963.5688897959185,28.666666666666668,GROMACS,960
31,0.0,0.28669566,0.291166,0.13195257,0.0036482215,0.0,0.12443873,0.0,1317455880.0118577,1580162085.1225297,25.114624,0.8577075,0.0,25.501976,86.78712,1923.793719367589,28.33333333333333,GROMACS,945
32,0.0,0.28074318,0.27994165,0.12534241,0.0036303503,0.0,0.124276266,0.0,1271387599.2996109,1547156936.6342413,25.334631,0.84435797,0.0,25.5214,86.07858,1952.6533424124514,28.666666666666668,GROMACS,930
33,0.0,0.29121688,0.3064498,0.13830121,0.0035301205,0.0,0.12712851,0.0,1305498640.0321286,1574451670.9558232,26.522089,0.87148595,0.0,26.269075,86.265854,1925.9814899598393,28.666666666666668,GROMACS,915
34,0.0,0.28487265,0.30034083,0.13447191,0.0033895131,0.0,0.124292135,0.0,1255784747.3033707,1539086313.977528,25.749063,0.88014984,0.0,26.524345,84.38252,1920.8824307116104,28.666666666666668,GROMACS,900
35,0.0,0.29880163,0.29561943,0.13241701,0.003708502,0.0,0.13104454,0.0,1293624151.9068825,1554673342.45749,25.307692,0.8380567,0.0,25.506073,85.18897,1938.1408623481782,28.666666666666668,GROMACS,885
36,0.0,0.31391305,0.30995652,0.14050592,0.0037667984,0.0,0.13823715,0.0,1356452330.9802372,1645867787.4703557,27.0,0.8695652,0.0,26.897234,85.91709,1930.0045889328064,29.0,GROMACS,870
37,0.0,0.30526087,0.29504347,0.13290909,0.0035415022,0.0,0.13756917,0.0,1296552577.2964427,1566967276.9525692,27.450592,0.8458498,0.0,27.177866,85.10133,1936.9800750988143,29.0,GROMACS,855
38,0.0,0.30158064,0.31614515,0.14215726,0.0035887097,0.0,0.13447984,0.0,1253631577.0362904,1510863893.1814516,28.629032,0.8991935,0.0,29.75,84.33023,1905.4831532258063,28.33333333333333,GROMACS,840
39,0.0,0.33069876,0.3275523,0.14706276,0.003794979,0.0,0.14833473,0.0,1347000606.422594,1613734319.4351463,28.669456,0.88284516,0.0,29.096233,84.80709,1918.7544560669455,29.0,GROMACS,825
