,dvfs,application,base_kernel_runtime,kernel_runtime,ratio
0,1005,tpacf,107.0,8.816666666666668,12.133333333333333
1,1020,tpacf,107.0,8.726666666666667,12.263333333333334
2,1035,tpacf,107.0,8.61,12.433333333333332
3,1050,tpacf,107.0,8.536666666666667,12.536666666666669
4,1065,tpacf,107.0,8.466666666666667,12.64
5,1080,tpacf,107.0,8.37,12.783333333333331
6,1095,tpacf,107.0,8.283333333333333,12.916666666666666
7,1110,tpacf,107.0,8.263333333333334,12.949999999999998
8,1125,tpacf,107.0,8.13,13.160000000000002
9,1140,tpacf,107.0,8.076666666666666,13.246666666666668
10,1155,tpacf,107.0,8.003333333333332,13.366666666666667
11,1170,tpacf,107.0,7.93,13.49
12,1185,tpacf,107.0,7.843333333333334,13.64
13,1200,tpacf,107.0,7.776666666666666,13.763333333333334
14,1215,tpacf,107.0,7.736666666666667,13.83
15,1230,tpacf,107.0,7.656666666666666,13.976666666666668
16,1245,tpacf,107.0,7.646666666666666,14.0
17,1260,tpacf,107.0,7.55,14.17
18,1275,tpacf,107.0,7.503333333333333,14.26
19,1290,tpacf,107.0,7.436666666666666,14.39
20,1305,tpacf,107.0,7.390000000000001,14.486666666666666
21,1320,tpacf,107.0,7.329999999999999,14.593333333333334
22,1335,tpacf,107.0,7.273333333333333,14.713333333333331
23,1350,tpacf,107.0,7.22,14.826666666666668
24,1365,tpacf,107.0,7.166666666666667,14.923333333333332
25,1380,tpacf,107.0,7.096666666666667,15.086666666666666
26,1395,tpacf,107.0,7.076666666666667,15.123333333333331
27,1410,tpacf,107.0,7.086666666666666,15.096666666666666
28,510,tpacf,107.0,14.696666666666664,7.28
29,525,tpacf,107.0,14.39,7.436666666666666
30,540,tpacf,107.0,14.036666666666669,7.626666666666666
31,555,tpacf,107.0,13.746666666666668,7.786666666666666
32,570,tpacf,107.0,13.493333333333334,7.933333333333334
33,585,tpacf,107.0,13.236666666666666,8.083333333333334
34,600,tpacf,107.0,12.96,8.256666666666666
35,615,tpacf,107.0,12.74,8.4
36,630,tpacf,107.0,12.506666666666666,8.553333333333333
37,645,tpacf,107.0,12.266666666666666,8.723333333333334
38,660,tpacf,107.0,12.066666666666668,8.866666666666667
39,675,tpacf,107.0,11.846666666666666,9.033333333333331
40,690,tpacf,107.0,11.616666666666667,9.21
41,705,tpacf,107.0,11.48,9.323333333333332
42,720,tpacf,107.0,11.263333333333334,9.5
43,735,tpacf,107.0,11.133333333333333,9.61
44,750,tpacf,107.0,10.893333333333333,9.82
45,765,tpacf,107.0,10.736666666666666,9.966666666666669
46,780,tpacf,107.0,10.643333333333333,10.056666666666668
47,795,tpacf,107.0,10.463333333333331,10.226666666666668
48,810,tpacf,107.0,10.293333333333331,10.39
49,825,tpacf,107.0,10.166666666666666,10.523333333333332
50,840,tpacf,107.0,10.013333333333334,10.686666666666667
51,855,tpacf,107.0,9.986666666666666,10.713333333333331
52,870,tpacf,107.0,9.75,10.973333333333334
53,885,tpacf,107.0,9.646666666666668,11.093333333333334
54,900,tpacf,107.0,9.54,11.213333333333331
55,915,tpacf,107.0,9.42,11.36
56,930,tpacf,107.0,9.283333333333331,11.523333333333332
57,945,tpacf,107.0,9.22,11.606666666666667
58,960,tpacf,107.0,9.09,11.773333333333332
59,975,tpacf,107.0,8.993333333333334,11.9
60,990,tpacf,107.0,8.886666666666667,12.043333333333331
