,ID,gr_engine_active,sm_active,sm_occupancy,tensor_activity,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,mem_util_samples,gpu_util_samples,power_usage,total_energy_consumption,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock
20,0.0,1.0,0.94315666,0.17815664,0.0,0.0008105647,0.0,0.17945537,0.0,6963527.298724954,4016503.8233151184,97.08926,0.0,0.0,96.56467,126.85797,1023.1163661202186,0.0,31.238615,44.395264,1110.0,8.263333333333334,tpacf,1110
21,0.0,1.0,0.9491993,0.1790723,0.0,0.0008112875,0.0,0.18032275,0.0,6991553.851851852,3986457.6331569664,97.171074,0.0,0.0,97.00882,126.685036,1030.5497954144619,0.0,31.243385,44.338623,1095.0,8.283333333333333,tpacf,1095
22,0.0,0.9982417,0.9538522,0.18039304,0.0,0.0010034783,0.0,0.18168695,0.0,7567226.876521739,12073291.406956522,96.73217,0.0,0.0,96.655655,126.09023,1032.8771426086955,0.0,31.175652,44.057392,1080.0,8.37,tpacf,1080
23,0.0,0.9985615,0.95257366,0.17971577,0.0,0.0010658579,0.0,0.18122184,0.0,8698603.159445407,19880501.181975737,96.92721,0.0,0.0,96.913345,125.1849,1031.655649913345,0.0,30.554592,43.772964,1065.0,8.466666666666667,tpacf,1065
24,0.0,0.99852383,0.9499422,0.18027891,0.0,0.0009931973,0.0,0.18168367,0.0,8011972.280612245,15087780.75510204,96.7636,0.0,0.0,96.61905,124.52611,1042.8456989795918,0.0,30.82653,44.05442,1050.0,8.536666666666667,tpacf,1050
25,0.0,0.9977385,0.9517282,0.17940512,0.0,0.00093846157,0.0,0.18093163,0.0,7649635.463247864,11358072.90940171,97.28205,0.0,0.0,97.21368,123.61737,1050.6980444444446,0.0,30.863247,43.945297,1035.0,8.61,tpacf,1035
26,0.0,0.99766445,0.9472409,0.17925249,0.0,0.00093355484,0.0,0.18071595,0.0,7333019.207641196,10143470.752491694,97.299,0.0,0.0,97.00332,121.95035,1048.2235132890366,0.0,30.53156,43.975082,1020.0,8.726666666666667,tpacf,1020
27,0.0,0.9978328,0.95003605,0.17909671,0.0,0.0008672132,0.0,0.18074426,0.0,7522049.7049180325,10691305.581967212,97.20328,0.0,0.0,97.17541,121.90429,1059.8306163934426,0.0,30.536066,43.770493,1005.0,8.816666666666668,tpacf,1005
28,0.0,0.99734706,0.95242596,0.17980428,0.0,0.0010049343,0.0,0.18149507,0.0,8164078.638157895,17700525.46217105,97.19244,0.0,0.0,97.12665,121.38804,1068.3200131578947,0.0,30.488487,43.97862,990.0,8.886666666666667,tpacf,990
29,0.0,0.9973732,0.94598424,0.1787118,0.0,0.0009259843,0.0,0.18042047,0.0,6918037.592125984,8556815.388976378,96.88032,0.0,0.0,96.781105,120.47282,1073.551357480315,0.0,30.429922,43.866142,975.0,8.993333333333334,tpacf,975
30,0.0,0.9989599,0.9534719,0.18056019,0.0,0.0010770466,0.0,0.18211879,0.0,8082651.447833066,18507594.250401285,97.274475,0.0,0.0,97.160515,119.93711,1077.7052086677368,0.0,30.394863,43.783306,960.0,9.09,tpacf,960
31,0.0,0.99640435,0.9454806,0.17903577,0.0,0.0010715397,0.0,0.18063453,0.0,8225196.220839813,17882493.479004666,97.24572,0.0,0.0,97.13841,118.77216,1089.706734059098,0.0,30.373251,43.894245,945.0,9.22,tpacf,945
32,0.0,1.0,0.9474182,0.17832407,0.0,0.000779321,0.0,0.17999692,0.0,6346431.277777778,3511160.9475308643,97.21296,0.0,0.0,96.99537,118.0462,1092.9732145061728,0.0,30.375,43.939816,930.0,9.283333333333331,tpacf,930
33,0.0,0.9968298,0.94726205,0.17903163,0.0,0.0011596386,0.0,0.18090662,0.0,9464750.80873494,31955978.248493977,97.15964,0.0,0.0,97.03012,117.74545,1102.914078313253,0.0,30.299698,43.706326,915.0,9.42,tpacf,915
34,0.0,0.9982376,0.9492737,0.18041955,0.0,0.0009218046,0.0,0.18196692,0.0,7807591.706766917,15443856.431578947,97.35188,0.0,0.0,97.17895,116.77199,1114.759294736842,0.0,30.303759,44.0,900.0,9.54,tpacf,900
