,ID,gr_engine_active,sm_active,sm_occupancy,tensor_activity,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,MCUTL,MUSAM,GUSAM,power_usage,TOTEC,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock
20,0.0,0.9996266,0.99891675,0.12481168,0.9958547,0.16543412,0.0,0.0,0.0,8895677.831455506,10772191.156587722,99.55185,21.501495,20.968729,99.40216,243.41219,12854.642671418716,0.0,44.17958,51.62635,1110.0,1.6058753333333333,dgemm,1110
21,0.0,0.9997586,0.9996781,0.124885,0.9966216,0.098098435,0.0,0.0,0.0,9575072.941217635,9004666.716585025,99.5379,12.729181,12.367157,99.38768,232.41151,12410.900457662701,0.0,43.50525,50.3268,1095.0,1.6217643333333334,dgemm,1095
22,0.0,0.9998497,0.99993217,0.124906175,0.99686974,0.07923696,0.0,0.0,0.0,8520444.194632336,8630630.117172157,99.60463,10.16103,10.069605,99.39166,227.66336,12305.123952432905,0.0,43.102333,49.80624,1080.0,1.6435583333333335,dgemm,1080
23,0.0,0.99965024,0.9997363,0.1249074,0.9966995,0.077115245,0.0,0.0,0.0,7904715.0896860985,8160408.371748879,99.590805,9.953812,9.949103,99.41278,225.0644,12353.866500672646,0.0,42.849552,49.701122,1065.0,1.6666713333333336,dgemm,1065
24,0.0,0.9998397,0.99978024,0.124900475,0.9967493,0.07607983,0.0,0.0,0.0,8802653.092058884,8635287.806137258,99.54593,9.94547,9.950031,99.30769,221.71738,12334.1786340452,0.0,42.49347,49.61435,1050.0,1.6904673333333333,dgemm,1050
25,0.0,0.9998429,0.9999924,0.12493054,0.9969659,0.07500393,0.0,0.0,0.0,9370209.35538557,8259640.914203018,99.63262,9.960513,9.07484,99.47943,220.02412,12412.694388463924,0.0,42.338226,49.54848,1035.0,1.7149613333333333,dgemm,1035
26,0.0,0.99988973,0.99999094,0.12493503,0.99694914,0.073916465,0.0,0.0,0.0,7750765.516243094,7791445.572596685,99.62674,9.959116,8.96,99.46011,216.68303,12407.483866519337,0.0,41.978344,49.395138,1020.0,1.7401783333333334,dgemm,1020
27,0.0,0.9999289,0.9998421,0.12492331,0.9968003,0.07286084,0.0,0.0,0.0,7702218.043946574,7700084.020896166,99.665665,9.957993,8.96467,99.485565,214.09836,12443.319292977165,0.0,41.81732,49.355236,1005.0,1.7661346666666669,dgemm,1005
28,0.0,0.9999328,0.9999877,0.124858625,0.9969421,0.071785085,0.0,0.0,0.0,7819474.430896027,7645394.22125951,99.67244,9.209847,8.966399,99.52789,210.78348,12428.001354818258,0.0,41.418007,49.202873,990.0,1.7928823333333332,dgemm,990
29,0.0,0.9998221,0.9999937,0.12492547,0.99695283,0.07074337,0.0,0.0,0.0,8310059.632210527,7621036.403578947,99.72379,9.011789,8.968421,99.56821,208.39665,12479.703750947368,0.0,41.257053,49.094738,975.0,1.820454,dgemm,975
30,0.0,0.9997784,0.9997405,0.124925576,0.9967004,0.06968501,0.0,0.0,0.0,7462935.575585073,7521215.784524563,99.66709,8.966055,8.966476,99.47607,205.82127,12500.14946236559,0.0,40.95931,48.970062,960.0,1.8488900000000001,dgemm,960
31,0.0,0.99981284,0.9999943,0.12495588,0.9969578,0.06863047,0.0,0.0,0.0,8019182.235450742,7993190.482502853,99.67706,8.9669075,8.962343,99.507416,203.37044,12542.910704830734,0.0,40.649487,48.891212,945.0,1.8782216666666665,dgemm,945
32,0.0,0.99980485,0.9998069,0.12490776,0.99676335,0.067477405,0.0,0.0,0.0,7847360.640714873,7176021.545603944,99.68776,8.965694,8.076007,99.51705,201.54507,12648.188241577649,0.0,40.522186,48.847576,930.0,1.908518666666667,dgemm,930
33,0.0,0.9999201,0.99983346,0.1249025,0.9967945,0.06632466,0.0,0.0,0.0,7246563.627611634,7164522.961081524,99.67022,8.967227,7.9682508,99.498566,200.64278,12789.882707496927,0.0,40.416836,48.785336,915.0,1.9397806666666668,dgemm,915
34,0.0,1.0,0.9999939,0.12495109,0.99694395,0.065168954,0.0,0.0,0.0,8190404.402775369,7860471.783521249,99.71657,8.969992,7.9757156,99.51986,197.19067,12749.614721248916,0.0,40.183174,48.74085,900.0,1.9720966666666664,dgemm,900
35,0.0,0.99993914,0.9999894,0.124929674,0.9969525,0.06397786,0.0,0.0,0.0,8641631.526941234,8250825.835259645,99.74003,8.213576,7.9759073,99.54729,195.78812,12888.875039394432,0.0,40.007812,48.96728,885.0,2.0055076666666665,dgemm,885
36,0.0,0.9999109,0.9999731,0.12492929,0.9969352,0.0629695,0.0,0.0,0.0,7954404.149393414,7689246.3010398615,99.71612,7.986135,7.9736567,99.52825,192.898,12891.799921490467,0.0,39.64541,48.980934,870.0,2.0400926666666668,dgemm,870
37,0.0,0.9996518,0.99991745,0.12492262,0.9968828,0.06189053,0.0,0.0,0.0,9589065.03413023,7772159.8888015095,99.754326,7.9779806,7.9779806,99.570465,190.39845,12934.193891160743,0.0,39.446526,48.923088,855.0,2.0758766666666664,dgemm,855
38,0.0,1.0,0.9999869,0.12493567,0.9969418,0.06082264,0.0,0.0,0.0,7917506.904587766,7555070.475398936,99.71194,7.97623,7.9720745,99.5251,188.27493,13035.596745345743,0.0,39.277096,48.835606,840.0,2.112929666666667,dgemm,840
39,0.0,0.99997205,0.99998826,0.12493789,0.9969592,0.059818808,0.0,0.0,0.0,7883081.533622212,7420108.248916707,99.73824,7.975285,7.0731826,99.54887,186.33652,13123.406580645162,0.0,39.047024,48.73375,825.0,2.1513503333333333,dgemm,825
40,0.0,0.9999365,0.99985677,0.12492231,0.996831,0.05875208,0.0,0.0,0.0,7441250.967551151,6911355.431585678,99.79795,7.9828963,6.9844947,99.6055,183.34322,13140.95256665601,0.0,38.805145,48.69549,810.0,2.1911746666666665,dgemm,810
41,0.0,0.9997811,0.99984246,0.12488194,0.99681956,0.057646714,0.0,0.0,0.0,8254860.989974562,6772461.690258866,99.71181,7.977555,6.978902,99.54855,181.43768,13395.479774203202,0.0,38.463566,48.423164,795.0,2.232518666666667,dgemm,795
42,0.0,0.9997621,0.9999531,0.12494649,0.9969303,0.05664099,0.0,0.0,0.0,9129821.257571302,6703484.220817407,99.73743,7.129962,6.981329,99.557045,178.74892,13291.597725080857,0.0,38.243164,48.326817,780.0,2.2754353333333333,dgemm,780
43,0.0,0.99992776,0.9999961,0.12494553,0.99656147,0.055474352,0.0,0.0,0.0,7730240.891923132,6748386.921832105,99.77922,6.995521,6.977171,99.5112,176.75279,13404.03518118769,0.0,37.983963,48.268024,765.0,2.3210066666666664,dgemm,765
44,0.0,0.9999521,0.99998856,0.12491432,0.9966574,0.054443914,0.0,0.0,0.0,7494317.212655017,6663209.525789177,99.75028,6.9829483,6.980975,99.560455,174.44383,13479.342493658398,0.0,37.64205,48.05341,750.0,2.367158,dgemm,750
45,0.0,0.99981445,0.99988276,0.124926694,0.9960977,0.053300582,0.0,0.0,0.0,7480399.553907982,6764773.839246119,99.73836,6.98143,6.9796286,99.544624,171.12593,13494.110835920177,0.0,37.119736,47.8222,735.0,2.4165963333333336,dgemm,735
46,0.0,1.0,0.9999959,0.1249225,0.9963523,0.052207258,0.0,0.0,0.0,7035509.406603903,6556966.0953745395,99.78182,6.9841723,6.0639925,99.59326,168.98921,13600.30021312594,0.0,36.896713,47.7353,720.0,2.4665996666666663,dgemm,720
47,0.0,0.9998775,0.99988073,0.12491419,0.9956464,0.05096479,0.0,0.0,0.0,7568709.9560910305,6519899.943908969,99.74498,6.9813924,5.9835343,99.54779,166.77869,13712.18387991968,0.0,36.796787,47.66265,705.0,2.5206500000000003,dgemm,705
48,0.0,0.9999758,0.9999962,0.12492665,0.99535006,0.049890373,0.0,0.0,0.0,6401079.896579157,6079852.144789181,99.77327,6.982339,5.9847255,99.61575,164.18825,13811.753166587112,0.0,36.51265,47.484486,690.0,2.576530333333334,dgemm,690
49,0.0,0.999768,0.99988484,0.124901265,0.9952235,0.048812717,0.0,0.0,0.0,9229818.720317934,7354210.9574018875,99.769005,6.1195974,5.9848485,99.59451,161.64084,13855.822920640834,0.0,36.178963,47.392822,675.0,2.6336800000000005,dgemm,675
50,0.0,0.9998076,0.99973196,0.12489756,0.9948771,0.047739442,0.0,0.0,0.0,9039852.618773712,6923901.616937951,99.782646,5.991433,5.984824,99.615105,159.3935,13984.24212997185,0.0,35.98152,47.32505,660.0,2.6939363333333337,dgemm,660
51,0.0,0.99994457,0.99999607,0.12493453,0.98712677,0.04628064,0.0,0.0,0.0,6843932.107586907,6373404.625095153,99.77455,5.986425,5.97932,99.55988,155.86478,14098.807849530576,0.0,35.56724,47.216316,645.0,2.778540333333333,dgemm,645
52,0.0,0.9999773,0.99999034,0.12493753,0.9794105,0.044785596,0.0,0.0,0.0,6666303.833294556,5997777.188576082,99.804214,5.988134,5.0630527,99.63983,152.0515,14188.74617857143,0.0,35.139366,46.981388,630.0,2.8683103333333335,dgemm,630
53,0.0,0.9998485,0.9999211,0.12493808,0.98068297,0.043746468,0.0,0.0,0.0,7889459.512119472,5929770.887650776,99.79678,5.9874783,4.9894314,99.66088,149.8427,14289.061970017232,0.0,34.94888,46.851006,615.0,2.9336990000000003,dgemm,615
54,0.0,0.9999985,0.9999915,0.124925844,0.98229766,0.042784493,0.0,0.0,0.0,6583013.211685393,5824808.562696629,99.813934,5.98809,4.990562,99.66584,147.74782,14412.889343258426,0.0,34.680336,46.698765,600.0,3.002197333333333,dgemm,600
55,0.0,0.9997719,0.9998649,0.12488122,0.98364013,0.041772112,0.0,0.0,0.0,8512507.754092956,5827438.917921107,99.82497,5.653445,4.990221,99.67399,145.60167,14535.635316338863,0.0,34.34161,46.5795,585.0,3.0745586666666664,dgemm,585
56,0.0,0.9998396,0.99989665,0.12494686,0.9851658,0.040767007,0.0,0.0,0.0,7391679.125722543,5780753.574811027,99.8157,5.044131,4.9898844,99.645065,143.5053,14702.305015784794,0.0,34.113827,46.4522,570.0,3.1508143333333334,dgemm,570
57,0.0,0.99977714,0.99999195,0.124937996,0.9865077,0.039698355,0.0,0.0,0.0,5416388.12993421,4460743.050164473,99.79326,4.9875,4.9873357,99.6352,141.40294,14857.67952631579,0.0,33.896873,46.39441,555.0,3.231939333333333,dgemm,555
58,0.0,0.9998846,0.9998976,0.12495393,0.9876105,0.03867628,0.0,0.0,0.0,5637638.170471634,5128986.42200957,99.85004,4.991114,4.990294,99.703896,139.24545,15012.872719753932,0.0,33.53698,46.314285,540.0,3.317683333333333,dgemm,540
59,0.0,0.99979573,0.99976647,0.12487223,0.9888214,0.037634563,0.0,0.0,0.0,6553549.066537217,5172189.12763754,99.82576,4.989644,4.0504856,99.66965,136.95935,15152.850602459546,0.0,33.303947,46.156246,525.0,3.4074916666666666,dgemm,525
60,0.0,1.0,0.9999964,0.12495941,0.98985684,0.036598668,0.0,0.0,0.0,5578614.20105007,5060899.395441158,99.81099,4.9897556,4.008452,99.66001,134.81998,15337.927607888334,0.0,33.080547,45.940327,510.0,3.5051156666666667,dgemm,510
