,dvfs,bandwidth,kernel_runtime
0,510,1169.308,4.035373333333333
1,525,1173.388,4.0213399999999995
2,540,1176.8623333333335,4.00947
3,555,1180.4889999999998,3.99715
4,570,1183.4433333333334,3.9871700000000003
5,585,1186.294,3.9775899999999997
6,600,1188.919,3.968806666666667
7,615,1191.5336666666665,3.9601
8,630,1193.8006666666668,3.9525799999999998
9,645,1277.1576666666667,3.6946066666666666
10,660,1279.302,3.688413333333333
11,675,1281.3763333333334,3.6824366666666664
12,690,1437.4543333333334,3.282603333333333
13,705,1439.686,3.2775133333333333
14,720,1441.541,3.273296666666667
15,735,1443.3723333333335,3.2691466666666664
16,750,1573.0506666666668,2.999646666666667
17,765,1574.2796666666666,2.9973033333333334
18,780,1575.8896666666667,2.99424
19,795,1577.4156666666665,2.991343333333333
20,810,1699.6336666666666,2.77624
21,825,1694.059,2.78547
22,840,1702.0183333333334,2.77235
23,855,1735.791,2.71841
24,870,1736.9129999999998,2.7166533333333334
25,885,1737.6256666666668,2.7155400000000003
26,900,1738.385,2.7143533333333334
27,915,1747.7726666666667,2.6997766666666667
28,930,1748.6343333333334,2.6984433333333335
29,945,1752.009,2.6932500000000004
30,960,1755.3706666666667,2.688086666666667
31,975,1758.4076666666667,2.6834466666666668
32,990,1760.446,2.6803399999999997
33,1005,1763.1533333333334,2.676223333333333
34,1020,1764.9893333333332,2.67344
35,1035,1767.0233333333333,2.67036
36,1050,1768.8566666666666,2.667593333333333
37,1065,1769.923,2.6659866666666665
38,1080,1771.3473333333332,2.6638433333333333
39,1095,1771.7056666666667,2.6633033333333334
40,1110,1772.481,2.6621400000000004
41,1125,1772.3226666666667,2.66238
42,1140,1772.8616666666667,2.661566666666667
43,1155,1773.0643333333335,2.6612633333333333
44,1170,1773.006,2.66135
45,1185,1773.541,2.660546666666667
46,1200,1773.6216666666667,2.6604266666666665
47,1215,1773.9343333333334,2.65996
48,1230,1774.318,2.6593833333333334
49,1245,1774.3243333333332,2.6593766666666667
50,1260,1774.4650000000001,2.6591633333333333
51,1275,1773.7013333333334,2.6603066666666666
52,1290,1773.0613333333333,2.66127
53,1305,1764.3196666666665,2.6745733333333335
54,1320,1772.2066666666667,2.66255
55,1335,1771.675,2.6633533333333332
56,1350,1771.1286666666667,2.664173333333333
57,1365,1770.8053333333335,2.6646566666666662
58,1380,1770.2733333333333,2.66546
59,1395,1769.8393333333333,2.6661133333333336
60,1410,1769.6005,2.66647
