,dvfs,bandwidth,kernel_runtime
0,405,357.5796666666667,4.398639999999999
1,412,357.6466666666667,4.397813333333333
2,420,357.5543333333333,4.398956666666667
3,427,357.55199999999996,4.398980000000001
4,435,357.61133333333333,4.398253333333334
5,442,357.56200000000007,4.398853333333333
6,450,357.638,4.397923333333334
7,457,357.6466666666667,4.397816666666667
8,465,357.77233333333334,4.39627
9,472,358.4473333333333,4.387986666666667
10,480,359.42366666666675,4.376073333333333
11,487,360.3446666666667,4.364886666666667
12,495,406.68266666666665,3.8675633333333335
13,502,407.30400000000003,3.861663333333334
14,510,408.142,3.853733333333333
15,517,409.6133333333334,3.8399066666666664
16,525,409.5643333333333,3.840336666666667
17,532,409.163,3.8441300000000003
18,540,412.1813333333334,3.815986666666667
19,547,411.97499999999997,3.8178900000000002
20,555,410.45166666666665,3.83205
21,562,411.109,3.8259066666666666
22,570,411.137,3.8256633333333334
23,577,417.41433333333333,3.7694433333333333
24,585,429.1266666666666,3.6652666666666662
25,592,429.71866666666665,3.6602300000000003
26,600,429.9073333333333,3.6586133333333333
27,607,449.8616666666667,3.4963266666666666
28,615,450.4876666666667,3.491476666666667
29,622,452.944,3.4725366666666666
30,630,451.78266666666667,3.4814866666666666
31,637,490.3763333333333,3.2074999999999996
32,645,491.798,3.1981966666666666
33,652,491.09700000000004,3.2027966666666665
34,660,492.23066666666665,3.1953899999999997
35,667,530.391,2.9654833333333332
36,675,530.919,2.962533333333333
37,682,530.797,2.96321
38,690,530.4326666666667,2.965263333333333
39,697,587.7486666666667,2.6760866666666665
40,705,588.188,2.6740899999999996
41,712,587.6716666666667,2.676433333333333
42,720,588.6003333333333,2.672213333333333
43,727,588.6153333333333,2.6721466666666664
44,735,608.8273333333333,2.58344
45,742,608.2866666666667,2.58573
46,750,608.8246666666666,2.5834433333333333
47,757,608.8446666666667,2.5833566666666665
48,765,647.8623333333334,2.4277800000000003
49,772,648.4046666666667,2.4257466666666665
50,780,648.6759999999999,2.42473
51,787,648.2153333333334,2.4264566666666667
52,795,684.8633333333333,2.296606666666667
53,802,684.8849999999999,2.2965433333333336
54,810,685.355,2.2949633333333335
55,817,723.8383333333333,2.172946666666667
56,825,723.4856666666666,2.17401
57,832,723.643,2.1735366666666667
58,840,724.2226666666666,2.171796666666667
59,847,763.5403333333334,2.0599666666666665
60,855,763.8383333333333,2.0591566666666665
61,862,763.2223333333333,2.060823333333333
62,870,763.9526666666666,2.05885
63,877,794.257,1.9802966666666668
64,885,794.7273333333333,1.9791233333333331
65,892,795.1896666666667,1.9779733333333331
66,900,794.8303333333333,1.9788666666666668
67,907,809.7776666666667,1.94234
68,915,809.826,1.9422266666666665
69,922,809.8453333333333,1.9421766666666667
70,930,810.0533333333333,1.9416799999999999
71,937,818.6106666666668,1.9213799999999999
72,945,818.8356666666667,1.9208566666666667
73,952,818.8209999999999,1.9208866666666669
74,960,820.9946666666668,1.9158066666666667
75,967,820.982,1.9158333333333335
76,975,822.8413333333333,1.9115000000000002
77,982,822.832,1.9115266666666664
78,990,822.9433333333333,1.911266666666667
79,997,825.878,1.904473333333333
80,1005,825.991,1.9042133333333335
81,1012,825.9886666666666,1.9042199999999998
82,1020,824.1306666666668,1.9085133333333333
83,1027,824.067,1.90866
84,1035,824.172,1.9084166666666667
85,1042,825.8646666666667,1.9045066666666666
86,1050,825.9413333333333,1.9043266666666667
87,1057,827.6783333333333,1.9003333333333332
88,1065,827.8856666666667,1.8998566666666667
89,1072,827.9276666666666,1.89976
90,1080,826.9343333333333,1.9020400000000002
91,1087,826.9416666666667,1.9020233333333334
92,1095,827.0193333333333,1.9018466666666667
93,1102,825.857,1.9045233333333333
94,1110,825.976,1.90425
95,1117,824.3783333333334,1.9079366666666668
96,1125,824.468,1.907733333333333
97,1132,824.439,1.9077966666666668
98,1140,821.4286666666667,1.9147933333333331
99,1147,821.4696666666665,1.9146966666666667
100,1155,824.634,1.90735
101,1162,824.6613333333333,1.9072833333333332
102,1170,824.7253333333333,1.907136666666667
103,1177,824.4486666666667,1.907776666666667
104,1185,824.5446666666667,1.9075533333333334
105,1192,823.8896666666666,1.9090733333333334
106,1200,823.9506666666666,1.90893
107,1207,823.1956666666666,1.91068
108,1215,823.2806666666667,1.9104833333333333
109,1222,823.2716666666666,1.9105033333333334
110,1230,822.5336666666667,1.9122199999999998
111,1237,822.5363333333333,1.91221
112,1245,821.6203333333334,1.9143433333333333
113,1252,821.6586666666666,1.9142533333333336
114,1260,820.7313333333333,1.9164199999999998
115,1267,820.6783333333333,1.9165433333333333
116,1275,820.7816666666668,1.9163
117,1282,819.6746666666667,1.91889
118,1290,819.7510000000001,1.9187066666666668
119,1297,818.6733333333333,1.9212366666666665
120,1305,818.7396666666667,1.92108
121,1312,817.622,1.9237066666666667
122,1320,817.6503333333334,1.92364
123,1327,816.5803333333333,1.9261566666666665
124,1335,816.643,1.9260133333333334
125,1342,815.4976666666666,1.9287166666666666
126,1350,815.5813333333332,1.9285166666666667
127,1357,814.4286666666667,1.9312500000000001
128,1365,814.4793333333333,1.9311300000000002
129,1372,813.3653333333333,1.93377
130,1380,813.4253333333332,1.9336333333333335
